Flash Attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M=4Kib,,,,,,,,,,,,,,,,,,,,,Optimal M,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,
16,0.0046,0.0226,0.072,0.2759,1.1415,4.461,18.501,73.165,291.9,0.0046,0.0209,0.072,0.2759,1.1224,4.461,18.331,73.165,291.9,,,16,M=4KiB,M=8KiB,M=4KiB,M=4KiB,M=8KiB,M=4KiB,M=8KiB,M=4KiB,M=4KiB,4,15,4,4,15,4,15,4,4
32,0.0107,0.0411,0.1345,0.5273,2.1162,8.5474,34.655,139.78,558.11,0.01,0.0402,0.13,0.4982,2.0391,8.1965,32.758,133.39,526.54,,,32,M=8KiB,M=256KiB,M=16KiB,M=8KiB,M=8KiB,M=8KiB,M=8KiB,M=16KiB,M=8KiB,16,71,27,16,16,16,16,27,16
64,0.0231,0.086,0.3112,1.2715,5.131,20.516,82.7,332.81,1328.5,0.0193,0.064,0.2475,0.9543,3.8329,15.573,62.348,250.79,1012,,,64,M=128KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,61,28,28,28,28,28,28,28,28
128,0.065,0.2427,0.9566,3.8912,15.651,63.638,256.77,1025.3,4111.9,0.0347,0.1304,0.5024,2.0299,8.2184,32.901,133.23,534.52,2139.4,,,128,M=16KiB,M=1024KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,29,95,29,29,29,29,29,29,29
256,0.2709,1.1411,4.4248,17.105,68.482,275.46,1103.3,4419.3,17847,0.0683,0.2686,1.0351,4.1947,17.313,69.782,276.77,1121,4519.3,,,256,M=128KiB,M=64KiB,M=64KiB,M=64KiB,M=64KiB,M=32KiB,M=64KiB,M=64KiB,M=64KiB,63,52,52,52,52,41,52,52,52
512,0.5503,2.1423,8.4592,33.772,135.25,541.45,2185.7,8775.8,38346,0.1344,0.5324,2.1447,8.6594,35.305,142.6,576.34,2312.6,9231,,,512,M=128KiB,M=64KiB,M=64KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,64,53,53,64,64,64,64,64,64
1024,1.0401,4.2393,16.943,67.68,274.9,1096.9,4430.5,20158,93889,0.2891,1.1403,5.3161,18.527,73.985,296.07,1208.6,4915.1,20387,,,1024,M=128KiB,M=128KiB,M=64KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,65,65,54,65,65,65,65,65,65
2048,2.162,8.3898,33.831,135.57,546.17,2228.4,10179,45359,186783,0.5893,2.3292,9.5503,38.398,155.46,633.48,2656.3,10859,42073,,,2048,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,77,77,77,77,77,77,77,77,77
4096,4.2871,16.973,67.984,274.39,1100.4,4915.8,21833,90821,374857,1.2223,4.7049,19.212,77.598,319.57,1331.1,5418.7,20895,84157,,,4096,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,89,89,89,89,89,89,89,89,89
M=8Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0055,0.0209,0.0752,0.276,1.1224,4.5264,18.331,73.329,296.13,0.8363636364,1.081339713,0.9574468085,0.9996376812,1.017017106,0.9855514316,1.009273908,0.9977635042,0.985715733,M=4KiB,,,,,,,,,,,,4,5,6,7,8,9,10,11,12
32,0.01,0.0403,0.1433,0.4982,2.0391,8.1965,32.758,135.7,526.54,1.07,1.019851117,0.9385903699,1.058410277,1.037810799,1.042810956,1.057909518,1.030066323,1.059957458,M=8KiB,,,,,,,,,,,,15,16,17,18,19,20,21,22,23
64,0.02,0.0746,0.2555,1.003,4.0216,16.25,65.604,264.26,1057.5,1.155,1.152815013,1.218003914,1.267696909,1.275860354,1.262523077,1.260593866,1.259403618,1.256264775,M=16KiB,,,,,,,,,,,,26,27,28,29,30,31,32,33,34
128,0.0477,0.1635,0.6074,2.4481,9.9314,39.937,161.62,646.08,2612.8,1.362683438,1.48440367,1.57490945,1.589477554,1.575910748,1.593459699,1.588726643,1.586955176,1.573752296,M=32KiB,,,,,,,,,,,,37,38,39,40,41,42,43,44,45
256,0.1223,0.4663,1.8802,7.6444,30.793,124.07,498.12,1990.9,8101.7,2.215044971,2.447137036,2.353366663,2.237585684,2.223947001,2.220198275,2.21492813,2.219749862,2.202871002,M=64KiB,,,,,,,,,,,,48,49,50,51,52,53,54,55,56
512,0.5379,2.1604,8.3179,33.552,134.19,541.15,2169.3,8768.2,39393,1.023052612,0.9916219219,1.016987461,1.006556986,1.007899247,1.000554375,1.007560042,1.000866769,0.9734216739,M=128KiB,,,,,,,,,,,,59,60,61,62,63,64,65,66,67
1024,1.0553,4.2247,17.11,68.535,271.72,1109.5,4415.4,20209,93896,0.9855965128,1.003455867,0.9902396259,0.9875246225,1.011703224,0.9886435331,1.003419849,0.9974763719,0.9999254494,M=256KiB,,,,,,,,,,,,70,71,72,73,74,75,76,77,78
