M size(kb) \ N,,,16,16,32,32,64,64,128,128,256,256,512,512,1024,1024,2048,2048,4096,4096,8192,8192
,Max block size of Q(Br),"Max block size of K, V(Bc)",mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std,mean time(ms),std
Naive Attention,,,0.01115,0.000224722,0.04533,0.00011,0.16624,0.00688668,0.75732,0.0760367,5.04074,0.0262818,28.9459,0.577376,174.641,0.825122,704.311,2.3936,2870.83,7.23661,11332.7,25.449
4,4,4,0.01763,0.000134536,0.07268,0.011726,0.27209,0.00227835,1.14972,0.0240446,6.3928,0.142195,34.1578,0.385714,194.678,0.864417,782.759,6.94084,3133.06,16.3358,12430.5,34.7563
128,64,128,0.02915,0.000820061,0.07557,0.0203198,0.2812,0.020293,1.20453,0.0454556,6.68886,0.0601897,35.0828,0.17564,198.166,0.99232,798.073,4.76586,3214.84,16.0323,12730.7,30.5901
192,64,192,,,,,,,,,6.71087,0.0988292,35.9029,0.555206,200.864,1.94532,803.054,2.29479,3247.87,14.1619,12865.9,20.9336
256,64,256,,,,,,,,,6.7931,0.115062,36.3073,0.617197,201.482,1.43612,807.627,1.95432,3263.81,15.1545,12923.4,23.6607
2048,64,2048,,,,,,,,,,,36.2741,0.424994,204.798,1.72921,822.618,8.21607,3404.68,15.5932,13209.7,76.1108
3072,64,3072,,,,,,,,,,,,,,,,,3393.08,13.0766,13283.6,169.713
4096,64,4096,,,,,,,,,,,,,,,,,3490.25,58.456,13211.9,37.3689
32768,64,32768,,,,,,,,,,,,,,,,,,,13185,37.6598
Best time (ms),,,0.01763,,0.07268,,0.27209,,1.14972,,6.3928,,34.1578,,194.678,,782.759,,3133.06,,12430.5,
speedup,,,0.6324446965,,0.6236929004,,0.61097431,,0.6586995094,,0.7885026905,,0.8474169882,,0.8970761976,,0.8997801367,,0.9163022732,,0.9116849684,
Best M size (KiB),,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,
